#{"t_start": 1780441073.3138206, "env_id": "None"}
r,l,t
-49.604858,1,7569.615453
-83.109225,18,7574.49337
-58.611082,10,7578.521439
86.436557,137,7596.700597
18.836831,87,7609.218834
-5.388995,121,7625.564217
-49.784264,1,7628.593577
-62.588033,3,7631.803774
-49.852909,1,7634.843463
-236.045291,101,7648.999865
-54.139126,1,7652.041713
-21.977146,215,7678.765478
-62.308128,12,7683.015129
-65.616404,10,7687.041578
-24.451815,210,7713.218138
-92.292649,18,7718.187168
-69.208923,19,7723.184985
-50.288181,1,7726.20284
-49.892387,1,7729.259523
-52.420193,1,7732.310871
-54.023342,1,7735.343917
-107.940126,28,7741.336751
-50.857464,1,7744.344294
-73.959486,21,7749.558002
-59.543685,9,7753.481318
-101.861581,17,7758.252503
-64.742914,19,7763.301059
-53.449924,2,7766.465544
-51.665218,1,7769.478003
-385.734401,193,7793.799962
-87.566337,15,7798.365901
-50.3512,1,7801.409151
-361.48543,102,7815.647321
314.252567,78,7827.259409
-323.144875,250,7855.002576
119.018426,250,7882.620243
-92.242992,18,7884.679805
-51.671978,1,7887.710876
-52.415242,6,7891.313111
-52.538845,1,7894.365206
-50.360764,1,7897.400779
-50.404522,1,7900.415259
-51.560982,1,7903.436529
3.515244,250,7933.840936
-169.296507,57,7940.181031
212.395702,17,7944.974792
-117.42224,120,7958.221828
-52.372203,4,7961.581891
8.501141,65,7971.6416
-78.130591,14,7976.101976
-75.010821,12,7980.325782
-57.638165,8,7984.12166
-72.886004,7,7987.814859
-43.713946,13,7992.164185
-55.925386,17,7996.947769
-50.604061,1,7999.971978
-49.789318,1,8002.998246
-232.590812,250,8033.424592
-49.781485,4,8033.925678
396.170829,106,8048.51922
30.435377,124,8062.269658
-51.126705,1,8065.282696
-56.385856,2,8068.404832
-51.012135,1,8071.469236
-43.992568,3,8074.704125
-54.095074,1,8077.751775
-56.614485,3,8081.019545
-54.328304,1,8084.045957
-76.984571,11,8088.158784
-50.054943,1,8091.200799
-51.280106,1,8094.225838
-53.865671,2,8097.36121
-64.989682,9,8101.266781
-52.851021,1,8104.294179
-51.477802,1,8107.319966
-53.657913,1,8110.332994
-313.711827,250,8140.747657
-40.551545,34,8144.572717
-50.315342,1,8147.637754
-50.587269,1,8150.656902
-69.206758,250,8181.170775
-68.976441,6,8181.88028
-51.483479,1,8184.919874
-69.952456,10,8188.93483
-81.623264,19,8193.943114
-50.970894,1,8196.961613
-54.114182,1,8199.980239
-79.560257,17,8204.817635
-54.223267,1,8207.857343
-54.375603,1,8210.886379
-53.191319,1,8213.907794
-52.782597,1,8216.908644
-50.164505,1,8219.937235
-54.44508,1,8222.963327
-47.330238,165,8244.043104
-9.974413,30,8250.223018
-58.809901,10,8254.2573
-88.377518,19,8259.27781
-88.372984,14,8263.76466
-52.579933,1,8266.779088
-77.090281,16,8271.452708
-50.629108,1,8274.474825
-54.90454,2,8277.636044
-53.932732,1,8280.668127
-50.879009,1,8283.706631
-52.54245,1,8286.737667
-49.530281,1,8289.763436
-82.344384,14,8294.247452
-52.618712,3,8297.494879
-48.695069,12,8301.715065
-49.52689,1,8304.757133
-58.923107,2,8307.866317
-52.16301,3,8311.087295
-51.651962,1,8314.149754
-129.948463,22,8319.469888
-53.596222,1,8322.528971
-61.858348,8,8326.330835
-53.738247,1,8329.354043
-59.404395,8,8333.153893
206.384418,41,8340.600079
-118.31426,18,8342.640772
-50.223286,1,8345.692855
-50.765022,1,8348.696853
218.93396,40,8355.993253
-36.876405,76,8364.456412
-52.455498,1,8367.463036
-528.596893,250,8397.904913
-152.423138,41,8402.466177
-47.15971,86,8414.907056
-52.168161,3,8418.155869
-56.777423,2,8421.29765
-50.600685,1,8424.318185
-80.303627,18,8429.213976
-676.800698,156,8449.301685
1.104628,113,8464.632388
-719.437769,250,8495.142648
-310.554054,94,8505.577995
48.406776,63,8515.411036
-127.043694,21,8520.641502
-113.249228,17,8525.414872
-52.183563,1,8528.433055
-53.197887,1,8531.447924
-51.765972,1,8534.478337
-54.61064,2,8537.604199
-42.113365,10,8541.610373
-49.846298,1,8544.632499
-55.539396,8,8548.446676
-169.999178,190,8572.243856
-50.697517,1,8575.263255
-92.542471,12,8579.498527
-45.98821,6,8583.07793
-319.024515,242,8612.715599
-50.139874,1,8615.727092
-51.640091,1,8618.737843
-349.497502,250,8649.228625
-60.79321,3,8649.628594
94.868256,120,8665.801425
-52.639675,1,8668.822628
-101.775849,13,8673.169714
-52.875877,1,8676.201824
-46.570377,5,8679.683372
-50.296295,1,8682.707472
-49.822643,1,8685.726975
-108.463537,19,8690.737744
-51.225521,1,8693.762718
-48.380256,5,8697.224738
-54.201369,5,8700.705116
-49.798225,1,8703.738083
-54.168232,1,8706.773438
-110.923082,24,8712.334015
199.334793,1,8715.363266
-162.339875,250,8743.007365
-103.171715,150,8759.590299
-59.765804,3,8762.840982
-50.614831,3,8766.088923
-207.384485,49,8774.402085
-97.101317,36,8781.273949
-185.193918,67,8791.570675
-4.974043,38,8798.679587
-51.538467,1,8801.705878
-51.758453,1,8804.737972
-54.151737,1,8807.778062
-50.507595,1,8810.819482
-125.52229,50,8819.245056
550.934531,161,8839.973506
-53.049815,97,8850.72264
-99.342635,72,8861.55269
-47.2681,19,8866.543055
-52.169411,1,8869.583139
-50.418883,4,8872.935235
-78.678865,22,8878.287807
-16.810362,60,8887.819794
-35.440891,24,8893.377359
-59.134932,2,8896.521698
-51.757294,1,8899.556502
-177.528972,65,8909.621371
-54.6106,1,8912.675116
-53.697796,1,8915.700927
-162.448566,49,8924.040817
-49.861938,1,8927.082137
-32.279116,39,8934.288496
-51.322598,1,8937.320343
277.209124,70,8947.936756
90.491785,88,8957.68138
44.377051,69,8968.218591
-55.242907,5,8971.71212
-53.407032,1,8974.729038
-54.217392,1,8977.760153
-54.200974,1,8980.785783
-92.751805,19,8985.839702
-51.33784,4,8989.220106
-52.319736,1,8992.284325
-74.476285,12,8996.537305
-329.15344,172,9018.390264
-157.080532,48,9026.618547
-51.2262,1,9029.641629
-192.509926,70,9040.271588
263.777284,192,9064.313884
-93.175139,18,9066.357213
-17.478694,128,9083.369679
6.153412,200,9108.359255
-123.141517,22,9113.680904
-8.061273,73,9124.700679
-167.531755,45,9132.558725
-50.573639,1,9135.574262
-163.391385,64,9145.556821
439.422253,126,9162.317222
169.549238,203,9184.768399
-219.793739,61,9194.378833
-52.356159,1,9197.422292
-393.632557,250,9227.830177
-83.446745,53,9233.762107
-468.41886,166,9254.981037
-155.318001,59,9264.41898
-70.057614,116,9280.142225
-109.320128,24,9285.666849
124.478456,148,9304.844141
-51.473446,5,9308.310902
-84.523831,18,9313.236078
-63.202784,16,9317.896284
-66.731918,11,9322.02558
-71.810194,11,9326.146858
-48.274727,1,9329.183494
-50.687832,1,9332.214202
-50.377586,1,9335.266312
-51.877884,1,9338.263679
-128.155989,21,9343.514882
-51.865749,1,9346.50836
-180.834211,37,9353.527202
-157.919852,39,9360.729105
-57.347893,13,9365.080971
61.211171,144,9383.864339
146.3527,167,9402.385005
-29.72307,32,9408.819925
-49.593445,1,9411.820005
-52.68927,1,9414.82079
-52.491753,1,9417.84783
-53.049953,1,9420.880844
-40.333589,7,9424.556328
-119.224665,51,9433.085214
-125.292791,20,9438.211674
-50.793213,1,9441.244974
-49.751392,1,9444.290456
-51.697094,2,9447.45065
-50.980576,2,9450.619373
-73.036012,7,9454.30366
-149.455487,48,9462.486518
-61.947808,8,9466.28084
-105.748163,30,9472.487576
-69.843779,12,9476.72912
-76.768892,250,9507.100724
-116.790193,34,9510.89859
439.988682,101,9524.923563
-72.380276,190,9545.905392
-50.775471,1,9548.924852
-53.478676,1,9551.942479
530.996901,162,9572.701018
117.36523,41,9577.294436
209.705793,161,9595.12434
32.234597,168,9616.561152
-132.976128,40,9623.882963
75.927604,248,9654.126214
-122.581706,16,9655.956375
-51.627834,1,9658.989977
-53.220566,1,9662.016818
69.35807,165,9683.146422
-327.901119,250,9713.572537
-67.139516,33,9717.243729
-50.283166,2,9720.381643
407.174319,93,9733.559596
6.173147,250,9761.093741
-31.697546,47,9766.358608
-52.111146,4,9769.734069
-488.407424,187,9793.244106
-52.315941,1,9796.259461
-109.152246,14,9800.701319
463.978113,126,9817.527452
-104.913948,13,9818.999539
-52.503418,1,9822.022833
119.443547,124,9838.633787
373.886494,110,9853.623813
27.61973,63,9860.629758
-52.6408,1,9863.662952
-53.819374,1,9866.686182
157.663221,88,9879.354564
-18.508801,45,9884.386384
-55.686361,6,9887.95782
-53.598648,1,9890.96975
-593.819908,250,9921.457697
-71.314913,68,9929.013867
-31.165423,42,9936.556874
-129.883353,27,9942.446543
-153.367683,144,9961.254985
-90.330525,17,9966.059334
-50.865639,1,9969.091285
6.204885,48,9977.278883
60.467324,122,9993.640782
-56.527859,6,9997.243481
-53.489414,1,10000.269186
-50.673866,1,10003.303663
-53.840607,1,10006.306815
-52.458939,1,10009.329563
-50.944405,1,10012.3487
-52.942635,1,10015.364341
-50.813721,1,10018.395766
-65.739877,14,10022.853442
-51.889687,5,10026.352856
-51.7757,1,10029.378793
-52.527439,1,10032.432798
-65.513507,6,10036.014612
-181.785235,128,10053.061442
-267.873672,75,10064.221422
-82.106203,22,10069.561798
-75.697406,13,10073.910948
-69.503542,7,10077.604802
-66.722898,5,10081.081305
-159.262042,80,10092.845911
-136.685689,31,10099.161849
219.557857,218,10126.095778
-49.67075,1,10126.257022
-63.93139,22,10131.594007
-161.292497,31,10137.91973
-49.079453,2,10141.039217
-49.810081,1,10144.067344
-56.526783,2,10147.218708
337.967937,108,10161.994913
24.567864,114,10174.59789
196.207809,1,10177.602225
-0.85539,250,10205.191458
427.021308,125,10219.123406
-1.384225,99,10230.09546
19.652067,185,10253.390683
-70.366969,12,10257.616722
-50.586577,2,10260.763073
-52.227158,1,10263.775352
-104.006575,34,10270.392358
-49.987099,1,10273.424877
-38.010816,24,10278.986453
-78.569233,14,10283.4593
-491.008623,250,10313.934959
-260.880864,103,10325.24766
-39.943654,124,10341.872642
-49.737713,1,10344.899247
-52.629622,2,10348.041709
-68.585846,6,10351.637561
-49.680096,1,10354.706043
-50.063751,1,10357.754966
-51.70171,1,10360.802453
-49.898357,1,10363.826386
-49.348595,1,10366.856404
-49.7952,1,10369.915985
-53.063278,1,10372.973823
-52.441849,1,10375.98947
-52.516052,1,10379.023582
-51.075909,1,10382.060049
-52.695576,1,10385.058973
-51.194458,1,10388.093111
-53.221165,1,10391.110614
-50.300371,2,10394.225627
-52.892731,1,10397.255478
-52.530777,1,10400.28056
-113.148427,109,10415.235401
-139.730236,34,10421.874117
-51.11814,3,10425.125826
83.691365,95,10438.542334
116.979608,118,10454.513841
106.739766,105,10469.031533
191.073615,93,10482.174378
-49.409141,12,10486.395321
