#{"t_start": 1780030921.827414, "env_id": "None"}
r,l,t
-104.824458,1,9048.535869
-209.466954,17,9051.94334
-194.259784,17,9055.394602
-105.7843,1,9057.053117
-216.6102,18,9060.622833
-104.311144,1,9062.279833
-137.267115,9,9064.814121
-141.039701,10,9067.449631
-144.993925,9,9070.001362
-103.395306,1,9071.667006
-204.204339,25,9075.950065
-104.59447,1,9077.605289
-157.381665,16,9080.923184
-137.581299,7,9083.250557
-125.056016,5,9085.35377
-176.658196,13,9088.32189
-103.369631,1,9089.988606
-125.14202,11,9092.729429
-165.740964,11,9095.476796
-98.578797,18,9099.014231
-166.768902,17,9102.42707
-283.882141,175,9123.282956
-106.123423,1,9124.933142
-111.175778,19,9128.570873
-104.149099,1,9130.215685
-226.197675,20,9133.962517
-104.863961,1,9135.604874
-196.781863,13,9138.583672
-105.593815,1,9140.234038
-105.540653,1,9141.883894
-196.239533,18,9145.444489
-110.905798,2,9147.21603
-105.558673,1,9148.87447
-133.222803,7,9151.195976
-165.713022,12,9154.078362
-182.114604,12,9156.953935
-164.047461,48,9163.780014
-106.084373,1,9165.42952
-162.261421,13,9168.408256
-144.129225,12,9171.291214
-104.421725,1,9172.951354
-303.284398,30,9177.802761
-638.830131,611,9246.692227
-103.948287,1,9248.351781
-197.188779,22,9252.319429
-100.971639,1,9253.976074
-129.407452,13,9256.951599
-136.651345,21,9260.825139
-104.653332,1,9262.489979
-102.142356,18,9266.009097
-171.844883,12,9268.879024
-101.892238,1,9270.537694
-288.477685,28,9275.166053
-146.451545,7,9277.478664
-149.034182,8,9279.900651
-148.51553,16,9283.194225
-102.867237,1,9284.8606
-133.885215,18,9288.387389
-129.497522,27,9292.922399
-242.836519,19,9296.552401
-106.020583,1,9298.207352
-103.343038,1,9299.871388
-120.269688,28,9304.528805
-102.006912,1,9306.184226
-238.716977,18,9309.728615
-102.483243,1,9311.391891
-133.86701,49,9318.359853
-100.760035,1,9320.019411
-715.031035,177,9341.064616
-104.523253,1,9342.71467
-120.053873,12,9345.573486
-242.210102,133,9361.824743
-216.999344,126,9377.245527
-98.962822,1,9378.892451
-156.143199,13,9381.870185
-102.995937,1,9383.532605
-139.745558,8,9385.970892
-182.711254,90,9397.469037
-103.200665,1,9399.136631
-257.006655,62,9407.506934
-104.217182,1,9409.17116
-114.245622,12,9412.034862
-249.910716,24,9416.2272
-103.407145,1,9417.87702
239.84559,41,9423.956383
-381.020057,90,9433.945954
-103.265944,1,9435.616786
-2061.945327,514,9493.91696
-296.008591,45,9500.420327
-133.61977,9,9502.948167
-317.459307,169,9523.109449
-104.424452,1,9524.754412
-245.021803,23,9528.829346
-118.677311,22,9532.810023
-104.339098,1,9534.47013
-429.336825,50,9541.516675
-564.714102,168,9561.670082
