#{"t_start": 1780462071.1563911, "env_id": "None"}
r,l,t
-54.199219,1,8053.344822
-51.596329,1,8056.38156
199.187101,145,8075.238874
299.183442,107,8089.94632
-216.006197,250,8117.521086
-50.423157,1,8117.70048
-85.464275,10,8121.723497
433.947235,250,8152.125652
276.801982,151,8168.792742
-113.874393,236,8194.82825
-449.754962,215,8221.380314
-114.788237,16,8226.058383
330.773342,53,8234.863132
122.185051,227,8259.908409
86.109087,133,8277.546452
-81.871169,9,8281.474455
198.921829,1,8284.512209
63.573084,148,8300.867185
-52.462845,1,8303.910685
-52.75602,1,8306.927374
-49.882519,1,8309.975741
-50.090145,1,8313.034757
-54.397888,1,8316.060409
-53.688519,1,8319.076374
83.400876,250,8349.544442
401.140744,193,8370.878376
327.966676,90,8383.704976
185.58746,167,8402.092447
256.442505,189,8422.962662
-101.625832,13,8424.461678
206.712857,79,8436.030426
235.604003,119,8449.192242
-83.30574,47,8454.436557
-48.175228,1,8457.474606
-49.658635,3,8460.713038
216.713991,150,8480.165648
-52.16922,1,8483.194743
-53.080124,1,8486.243191
-49.981483,1,8489.282983
-49.751675,1,8492.31215
31.498562,85,8504.60045
380.687202,250,8535.038849
-23.826361,48,8540.380303
346.566758,192,8564.435077
202.370026,1,8564.623259
-136.591594,155,8581.725315
326.913594,99,8595.559145
416.121839,130,8609.926979
216.503324,41,8614.502036
334.866029,74,8622.727589
161.530337,117,8635.745628
-51.023518,1,8638.775778
-53.588093,1,8641.825643
66.338551,57,8651.028904
-95.254851,29,8657.116985
319.913567,74,8668.170798
-182.444234,127,8682.238441
210.353939,185,8705.538351
265.020821,152,8725.206545
-213.302104,121,8741.436467
-97.418477,19,8746.429433
-52.015057,1,8749.45373
167.549043,207,8775.148621
147.617959,229,8803.236041
-54.322628,1,8806.288414
-342.353242,78,8817.817009
-53.211121,1,8820.858267
-54.04591,1,8823.868702
172.154381,170,8845.496564
-106.406124,250,8873.117358
-50.465618,1,8873.299284
-53.395386,1,8876.342166
-55.791802,86,8888.7396
318.690443,245,8918.534077
-51.32357,1,8921.547807
-53.63258,1,8924.57272
-53.855282,1,8927.598768
-71.648175,5,8931.066209
-417.272856,168,8952.462969
28.425285,154,8972.352396
-49.977657,1,8975.400202
364.194006,187,8998.891357
-64.51256,10,9000.08388
-52.295673,1,9003.086129
-49.967781,1,9006.099113
-54.323311,1,9009.133862
-53.477982,1,9012.143039
-52.110691,1,9015.164445
-54.219173,1,9018.174178
-3.818424,31,9024.495612
-310.395971,250,9055.013401
-94.354998,152,9071.790616
610.924061,183,9094.808349
398.173201,250,9122.381411
79.207836,77,9130.907984
-35.348723,8,9131.837789
278.699894,250,9162.335011
-93.183012,100,9173.368999
-52.876831,1,9176.397252
-51.657612,1,9179.443293
-138.32896,26,9185.243515
-50.062393,1,9188.268556
-49.799221,1,9191.299546
254.568803,250,9221.668301
409.56062,218,9245.677703
376.28337,183,9265.899061
-51.819576,1,9266.071213
-51.204037,1,9269.089156
-52.823978,1,9272.135748
194.348584,250,9302.525031
118.484018,132,9317.128905
-52.597788,3,9320.350678
218.869151,212,9346.540998
207.597876,226,9371.52869
-8.813181,80,9383.264655
340.346172,148,9402.466757
-101.327942,247,9429.679372
524.705472,223,9457.244473
-54.78046,1,9457.418742
-53.575981,1,9460.433338
-53.977406,1,9463.459922
-56.499329,2,9466.580149
365.337764,250,9497.074267
67.709983,144,9512.992582
-68.165364,17,9514.947485
459.904362,210,9541.020095
418.435528,177,9560.527812
335.097962,102,9571.808145
-148.742081,47,9577.050347
-51.62838,1,9580.092471
195.607707,126,9596.869886
-53.198555,4,9600.209977
588.187731,200,9625.163737
331.091151,122,9638.609783
470.829055,250,9666.172017
362.640502,250,9693.840603
-36.118226,33,9697.520154
146.548555,250,9727.909528
-69.774371,9,9728.993096
-60.412946,60,9738.532108
-93.081027,40,9745.876549
-121.477627,250,9776.260521
110.474257,250,9803.834274
249.155239,163,9821.787814
-54.658728,75,9830.092334
-51.492428,6,9833.672839
-42.658799,27,9839.516275
-61.384022,13,9843.89841
-179.813624,39,9851.147523
-78.665656,11,9855.275181
293.251088,54,9864.162145
215.653007,250,9891.767212
-237.507512,250,9919.34249
-98.44451,10,9920.506811
243.430917,131,9937.835578
-79.189054,114,9950.417759
-268.837234,249,9980.659977
296.433688,232,10009.110456
194.381111,63,10018.94005
244.242753,183,10039.130939
-41.337995,173,10061.092575
42.635217,250,10088.691024
-104.482417,14,10090.284449
-52.57336,1,10093.310328
-53.895447,1,10096.339755
-51.326107,1,10099.376055
-54.281418,1,10102.40325
151.136847,83,10114.45741
41.288931,51,10122.958878
-90.475576,13,10127.300127
222.402566,250,10157.542553
-488.140077,250,10184.64331
172.95563,72,10192.638303
-196.317767,59,10202.032467
-43.757844,10,10206.041682
-75.396344,24,10211.640932
-21.104615,14,10216.09193
138.828422,186,10239.473205
102.541174,157,10259.65611
-53.284527,1,10262.711138
-123.541036,150,10282.152238
-50.350639,1,10285.205886
-50.502304,1,10288.217628
183.272438,173,10310.159205
266.031648,62,10319.936479
149.921447,183,10340.098424
-69.481421,6,10340.834044
-52.683773,1,10343.848126
-49.584457,1,10346.905109
-97.20673,17,10351.711536
282.317924,71,10362.417018
195.736474,250,10390.002076
22.708748,142,10405.680485
-3.59629,26,10411.477047
-57.832174,20,10416.575539
-95.579219,10,10420.606758
396.092257,145,10439.487138
-119.774225,107,10451.306467
-135.506971,19,10456.328813
427.85648,152,10475.996558
311.131295,147,10492.270176
90.666065,90,10502.245572
-53.650692,1,10505.291378
-54.554749,1,10508.325739
176.222602,129,10525.427238
344.2104,150,10544.851576
21.531052,132,10559.455352
-50.30537,1,10562.472237
-212.11556,62,10572.239225
-34.384208,27,10578.113222
-53.781666,1,10581.148445
-52.750416,1,10584.189999
-38.539221,6,10587.752788
-137.494938,196,10612.262867
-37.188222,11,10616.42079
-57.818338,86,10628.868013
-40.114985,28,10634.87524
7.733996,86,10647.25517
-73.242694,7,10650.951568
-53.477215,1,10653.999314
-53.725655,1,10657.040363
-53.778915,1,10660.065084
-53.152901,1,10663.121968
-52.562199,1,10666.133391
-50.726147,1,10669.183596
-54.010654,1,10672.210907
-57.743933,2,10675.338714
-45.670538,250,10705.755245
40.738643,105,10717.391961
439.178072,208,10743.208825
506.328029,223,10767.820215
-24.865359,103,10779.204043
-54.428013,1,10782.199803
266.555328,250,10812.646317
111.845766,210,10835.847099
-53.737778,1,10838.887454
-53.060059,1,10841.899406
-54.282513,1,10844.913983
265.404141,250,10875.381864
168.21498,86,10884.91517
297.197574,250,10912.470414
-323.023086,162,10930.372792
-52.583561,1,10933.423334
496.592453,247,10963.510966
-52.438778,1,10966.553605
379.748371,155,10986.475686
257.28078,129,11000.726922
59.782433,120,11014.074529
245.214944,187,11037.582657
-84.71417,13,11041.922504
-24.852262,21,11047.173132
470.795089,250,11077.562248
306.408526,76,11086.01976
-61.332666,250,11113.616652
-43.878506,65,11120.896077
145.957717,152,11140.665716
-306.06541,250,11171.077185
-95.378021,81,11180.050281
5.058281,24,11185.634057
-52.352226,1,11188.656785
-90.123125,14,11193.118009
-331.348677,107,11207.817087
-51.224388,1,11210.839844
123.193615,40,11218.15205
270.299844,197,11239.881082
-44.880599,250,11267.472201
8.240878,122,11280.954615
310.781163,106,11295.542345
-75.726279,7,11296.381584
-52.831749,1,11299.423578
580.901085,250,11329.84135
