#{"t_start": 1780426186.3061235, "env_id": "None"}
r,l,t
-54.092686,1,3520.055155
-50.801697,1,3523.101731
-86.916915,10,3527.120971
-53.386795,1,3530.180272
-53.81604,1,3533.217531
-54.017246,1,3536.240612
-51.197025,1,3539.306575
-50.697071,1,3542.349443
-50.44622,1,3545.371487
-53.37191,1,3548.413027
-49.306059,24,3553.999719
-49.86467,1,3557.029762
313.687219,48,3565.279372
-79.797261,12,3566.685717
-54.425911,1,3569.729707
-53.292038,1,3572.764728
-53.222576,1,3575.793288
-52.843006,1,3578.846167
-50.443783,1,3581.871976
-51.618221,1,3584.891243
-51.471851,1,3587.920788
-54.312778,1,3590.949811
-53.721897,1,3593.998065
-50.41544,1,3597.046377
-50.922272,1,3600.04502
-50.083004,1,3603.064707
-50.201981,1,3606.087322
-53.179317,1,3609.09777
-51.824974,1,3612.135221
-54.399853,1,3615.160208
-54.021309,1,3618.173772
-51.554077,1,3621.205799
-53.467007,1,3624.215197
-53.947678,1,3627.262477
-53.669182,1,3630.311649
-53.91721,1,3633.325289
-54.166355,1,3636.345834
-50.387505,1,3639.38406
-52.162037,1,3642.430328
-52.087746,1,3645.458194
130.651243,148,3664.808814
-49.802982,1,3667.876848
-50.355052,3,3671.155661
-109.14277,38,3678.309875
-51.469799,1,3681.332524
-53.636433,1,3684.35076
-53.210659,1,3687.366353
-52.410999,1,3690.423952
-104.853163,15,3694.983635
-74.617032,12,3699.243229
192.817025,11,3703.388559
332.366122,99,3714.467969
502.201293,194,3736.203402
-0.72844,95,3746.866559
-81.777842,15,3751.467448
227.510057,188,3775.321445
167.247564,139,3790.935074
-53.503139,1,3793.953246
-52.559254,1,3796.987159
340.870755,160,3817.722273
-77.792804,5,3818.342525
-53.166153,1,3821.402934
-53.517403,1,3824.423206
159.87864,106,3839.1504
-50.708932,56,3848.316398
-54.196835,1,3851.34737
-50.873436,1,3854.409302
-49.729675,1,3857.470633
-50.161804,3,3860.750034
-50.302399,1,3863.791345
-49.731388,1,3866.859549
107.991771,80,3878.663188
207.655323,197,3900.551316
-58.383642,2,3903.68846
-92.055888,8,3907.503351
-50.11937,1,3910.564984
-53.084938,1,3913.623189
360.099873,77,3925.05635
217.49584,85,3934.482777
233.33137,250,3962.103146
347.938482,228,3987.64408
376.920584,94,3998.238189
412.393226,190,4019.478926
54.911114,132,4034.194093
-89.278817,16,4038.865235
-121.362806,15,4043.461586
-50.952019,1,4046.478715
-49.974758,1,4049.503603
-148.145755,228,4077.760138
-125.395574,31,4084.1519
-5.367677,74,4095.236909
-53.165131,1,4098.259007
297.39638,227,4126.33998
-59.191734,3,4129.582207
-50.889526,1,4132.591097
-54.684734,2,4135.739244
-65.15079,16,4140.426834
-98.29045,15,4145.034722
-86.308066,11,4149.172607
-50.872307,1,4152.219102
-54.541302,1,4155.24315
-52.940483,1,4158.256688
-50.96994,1,4161.274479
-52.855629,1,4164.296093
-53.37365,1,4167.328359
-52.880398,1,4170.375213
-51.708382,1,4173.442339
-52.614166,1,4176.466454
-49.96983,1,4179.508947
-51.295265,1,4182.525785
-53.69878,1,4185.542519
-86.734062,17,4190.339195
-53.305054,1,4193.372653
-50.055504,1,4196.395842
7.099393,128,4213.452144
310.442441,99,4227.411138
-37.214906,54,4233.474134
-136.897314,42,4241.070295
178.400066,142,4259.769369
-51.963547,1,4262.809766
142.118063,148,4282.130167
-47.897478,4,4285.486059
305.537074,61,4295.179941
-51.347393,30,4298.613208
-53.212292,1,4301.613659
-46.888027,112,4316.901618
-54.362526,1,4319.946351
285.213369,102,4334.13073
245.34645,196,4355.799389
-49.571705,1,4358.842829
276.608664,30,4365.079616
-115.910826,78,4373.714515
34.096451,130,4390.998576
-50.398071,1,4394.021973
421.791852,184,4417.254961
153.494805,147,4433.459272
-22.466799,14,4435.048771
-51.385265,1,4438.075862
-67.121639,5,4441.552722
-581.966606,245,4471.430817
-50.797565,1,4474.430645
-578.307055,218,4501.345657
-50.277279,1,4504.365889
476.885132,158,4524.673579
-152.14013,50,4530.225096
-51.365181,1,4533.251308
-51.487457,1,4536.298738
-50.273392,1,4539.328425
-50.787617,1,4542.37338
-50.389088,1,4545.398081
-51.910927,1,4548.418994
-49.757507,1,4551.477346
-47.409363,1,4554.526716
251.137932,26,4560.292964
-117.149106,21,4562.671473
-80.088313,9,4566.60225
-171.710533,101,4580.628783
-50.896339,1,4583.652615
-53.362389,1,4586.706182
-52.659176,1,4589.770302
-53.802849,1,4592.823561
-53.377613,1,4595.847204
-52.894413,1,4598.844297
-54.198875,1,4601.900091
9.782903,61,4611.563904
-68.026115,30,4617.780806
-499.015891,250,4648.154244
-86.297359,250,4675.692088
-555.80408,250,4703.260794
-258.269476,250,4730.836444
-874.153598,250,4758.366577
-699.312373,250,4785.935666
-367.249802,133,4800.63045
-85.817635,54,4809.459659
-51.377045,1,4812.488205
-55.908431,8,4816.279453
-51.184795,1,4819.322497
-290.776758,77,4830.701512
-53.615231,1,4833.747997
-51.007271,1,4836.777423
-70.437994,10,4840.808918
-37.162851,33,4847.390208
-51.739482,22,4852.734206
-49.921646,1,4855.764628
-53.772129,1,4858.792196
-51.903778,1,4861.804097
-50.78017,1,4864.860304
-51.179077,1,4867.889313
-722.142371,250,4898.282517
-109.894479,69,4905.970524
-52.196224,1,4909.002675
-53.919331,1,4912.051733
-52.195599,1,4915.079389
-50.34049,4,4918.43311
-79.954086,60,4927.9498
-51.142155,1,4931.005006
-235.534399,184,4954.210682
-60.798538,7,4957.916283
-51.397282,1,4960.93839
