#{"t_start": 1780009368.3415194, "env_id": "None"}
r,l,t
-121.851085,11,4133.995804
-105.76602,11,4136.753776
-102.589716,1,4138.414877
-116.953698,21,4142.280729
-103.454057,1,4143.931862
-285.096994,33,4149.133129
106.716255,111,4162.923933
-238.397769,32,4166.535597
-1958.62838,415,4213.894678
-179.863763,20,4217.637858
-585.944125,166,4237.424372
-191.644448,17,4240.849847
-102.455117,1,4242.519461
-142.702339,18,4246.026723
-118.029408,9,4248.567076
-122.528568,10,4251.204087
-142.724167,12,4254.090055
-134.083795,20,4257.838526
-1434.099758,345,4297.570589
49.365443,79,4307.847111
-681.654504,207,4330.755287
-103.739815,1,4332.412477
-102.7807,1,4334.056923
-579.262768,134,4350.404018
-566.381093,255,4380.142759
-287.540161,70,4389.433124
-103.28292,1,4391.090034
-156.589724,16,4394.432918
-746.321624,169,4414.65124
-161.727338,14,4417.765803
-261.801517,142,4435.029405
-420.504944,100,4447.588815
-158.127879,29,4452.315281
184.787832,128,4468.000055
175.400021,136,4483.014152
-148.888086,17,4484.927463
-204.808767,60,4493.10297
-101.598512,1,4494.757085
-131.261822,14,4497.833637
-152.488267,91,4509.433997
-101.613938,1,4511.085868
-156.762162,57,4518.939923
-398.514056,95,4531.012763
-269.419304,334,4569.416584
-195.527416,51,4575.086267
-178.315146,66,4583.929954
-139.843656,18,4587.458557
-108.134545,10,4590.100767
-133.648421,13,4593.069693
-102.538067,1,4594.729705
-194.746451,113,4608.692495
-344.819374,142,4625.933738
-145.883056,11,4628.712677
-162.773369,11,4631.480804
-133.445025,16,4634.80532
-319.869169,63,4643.36051
-200.845457,46,4649.966102
-140.205833,16,4653.294347
-104.710695,1,4654.952555
-105.100088,6,4657.168898
-132.06759,15,4660.357772
-147.40821,13,4663.337076
-105.521137,6,4665.551088
-239.108153,65,4674.2985
-121.769672,11,4677.060581
-170.958294,22,4681.043541
-160.125539,18,4684.584766
-130.067511,22,4688.566113
-126.295436,11,4691.32187
-181.977942,19,4694.977377
-134.822135,20,4698.733796
-137.996343,16,4702.064224
-136.96347,9,4704.604898
-112.903278,11,4707.366095
-139.323957,20,4711.135664
-103.128828,1,4712.808123
-73.032208,23,4716.9106
-118.8176,9,4719.442684
-144.315662,9,4721.985345
-148.257687,29,4726.741485
-172.43218,25,4731.050183
-102.642291,10,4733.699753
-102.24741,1,4735.360511
-169.142687,21,4739.214824
-515.643592,92,4750.901743
-103.821563,1,4752.560724
-387.972625,43,4758.868002
-105.46211,1,4760.524916
-213.701049,16,4763.855186
-104.44075,1,4765.524416
-144.646346,33,4770.738545
-112.309925,11,4773.520603
197.696167,1,4775.180727
49.478445,81,4784.144387
-101.82374,1,4785.804084
-102.694751,1,4787.460464
-105.151341,1,4789.114498
-103.718154,1,4790.776059
-105.047055,1,4792.440369
-218.712963,54,4799.91561
-302.227308,111,4813.703976
-167.094519,23,4817.787638
-324.50802,161,4837.051184
-105.250491,1,4838.711659
-271.290433,158,4857.718438
-215.774176,32,4862.816002
-446.081313,207,4887.27272
-119.997025,6,4889.481198
-261.93011,54,4896.961509
-113.382016,12,4899.826424
-100.889449,1,4901.485866
-385.937537,45,4907.975855
-104.202292,1,4909.63236
-177.354643,22,4913.598877
235.748266,173,4934.254796
-264.114476,166,4952.614312
-102.655272,56,4960.308101
-187.402427,262,4990.838959
